Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240118W
A0A2B4RTL4	A0A2B4RTL4_STYPI	unreviewed	SASS6 AWC38_SpisGene15999	Stylophora pistillata (Smooth cauliflower coral)	Spindle assembly abnormal protein 6 homolog	1229	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; microtubule organizing center [GO:0005815]; guanyl-nucleotide exchange factor activity [GO:0005085]; symporter activity [GO:0015293]; cell cycle [GO:0007049]	GO:0005085; GO:0005737; GO:0005815; GO:0007049; GO:0015293; GO:0016021	PFX19585.1
A0A2B4RTM3	A0A2B4RTM3_STYPI	unreviewed	FOXD4 AWC38_SpisGene15996	Stylophora pistillata (Smooth cauliflower coral)	Forkhead box protein D4	515	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	PFX19595.1
A0A3M6TR23	A0A3M6TR23_POCDA	unreviewed	pdam_00022606	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	974			RMX43781.1
A0A3M6TTK4	A0A3M6TTK4_POCDA	unreviewed	pdam_00012751	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	229	guanyl-nucleotide exchange factor activity [GO:0005085]	GO:0005085	RMX44686.1
A0A3M6THA0	A0A3M6THA0_POCDA	unreviewed	pdam_00020838	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	616	integral component of membrane [GO:0016021]	GO:0016021	RMX40767.1
A0A3M6TH72	A0A3M6TH72_POCDA	unreviewed	pdam_00020837	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Netrin receptor UNC5	947	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; netrin receptor activity [GO:0005042]; apoptotic process [GO:0006915]; multicellular organism development [GO:0007275]	GO:0005042; GO:0005886; GO:0006915; GO:0007275; GO:0016021	RMX40762.1
A0A3M6THN4	A0A3M6THN4_POCDA	unreviewed	pdam_00020835	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1522			RMX40764.1
A0A3M6U1Q7	A0A3M6U1Q7_POCDA	unreviewed	pdam_00018996	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	881	cilium [GO:0005929]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]	GO:0003341; GO:0005929; GO:0060271	RMX47580.1
A0A2B4SFM4	A0A2B4SFM4_STYPI	unreviewed	AWC38_SpisGene7935	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX27357.1
A0A2B4RI11	A0A2B4RI11_STYPI	unreviewed	AWC38_SpisGene19759	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	370	integral component of membrane [GO:0016021]	GO:0016021	PFX15997.1
A0A3M6V261	A0A3M6V261_POCDA	unreviewed	pdam_00010478	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	311	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; regulation of DNA replication [GO:0006275]	GO:0005634; GO:0006275; GO:0016021	RMX59648.1
A0A3M6TWQ4	A0A3M6TWQ4_POCDA	unreviewed	pdam_00019972	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	463			RMX45689.1
A0A4Y2SUB9	A0A4Y2SUB9_ARAVE	unreviewed	POL_681 AVEN_149134_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	Endonuclease	957	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074	GBN91988.1
A0A3M6TZ73	A0A3M6TZ73_POCDA	unreviewed	pdam_00019054	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	570			RMX46661.1
A0A3M6V3W7	A0A3M6V3W7_POCDA	unreviewed	pdam_00013739	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Clathrin light chain	294	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; structural molecule activity [GO:0005198]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0005198; GO:0006886; GO:0016192; GO:0030130; GO:0030132	RMX60611.1
A0A3M6V3U7	A0A3M6V3U7_POCDA	unreviewed	pdam_00013743	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	212			RMX60616.1
A0A3M6V3W9	A0A3M6V3W9_POCDA	unreviewed	pdam_00013744	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	351	cytoplasm [GO:0005737]	GO:0005737	RMX60615.1
A0A3M6V3V5	A0A3M6V3V5_POCDA	unreviewed	pdam_00013752	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	435	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX60626.1
A0A3M6V4E6	A0A3M6V4E6_POCDA	unreviewed	pdam_00007772	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2174	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX60822.1
A0A3M6V4G8	A0A3M6V4G8_POCDA	unreviewed	pdam_00007766	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	775			RMX60846.1
A0A2B4SC04	A0A2B4SC04_STYPI	unreviewed	pol AWC38_SpisGene9357	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	953	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX25975.1
A0A2B4R905	A0A2B4R905_STYPI	unreviewed	AWC38_SpisGene23105	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	260			PFX12868.1
A0A3M6UNV2	A0A3M6UNV2_POCDA	unreviewed	pdam_00022872	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	360	integral component of membrane [GO:0016021]	GO:0016021	RMX55310.1
A0A2B4SC13	A0A2B4SC13_STYPI	unreviewed	AWC38_SpisGene9247	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	675			PFX26082.1
A0A3M6UJX3	A0A3M6UJX3_POCDA	unreviewed	pdam_00014901	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Centromere protein U (MLF1-interacting protein)	385	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]	GO:0000775; GO:0005634	RMX53970.1
A0A2B4RID0	A0A2B4RID0_STYPI	unreviewed	AWC38_SpisGene19630	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	822	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003677; GO:0003964; GO:0046872	PFX16117.1
A0A2B4S8L1	A0A2B4S8L1_STYPI	unreviewed	CSNK2A1 AWC38_SpisGene10422	Stylophora pistillata (Smooth cauliflower coral)	Casein kinase II subunit alpha	322	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	PFX24937.1
A0A2B4S352	A0A2B4S352_STYPI	unreviewed	N AWC38_SpisGene12224	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus Notch protein	763	calcium ion binding [GO:0005509]	GO:0005509	PFX23210.1
A0A3M6T5Q3	A0A3M6T5Q3_POCDA	unreviewed	pdam_00023131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1732	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0016787; GO:0046872	RMX36756.1
A0A2B4SFV2	A0A2B4SFV2_STYPI	unreviewed	AWC38_SpisGene6498	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	792	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX28751.1
A0A2B4S8P0	A0A2B4S8P0_STYPI	unreviewed	AWC38_SpisGene10180	Stylophora pistillata (Smooth cauliflower coral)	UPF0547 protein C16orf87-like	466			PFX25170.1
A0A3M6THU4	A0A3M6THU4_POCDA	unreviewed	pdam_00017671	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	350	asparaginase activity [GO:0004067]; beta-aspartyl-peptidase activity [GO:0008798]	GO:0004067; GO:0008798	RMX40936.1
A0A3M6UD87	A0A3M6UD87_POCDA	unreviewed	pdam_00018811	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	753	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX51474.1
A0A3M6TJF2	A0A3M6TJF2_POCDA	unreviewed	pdam_00012776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	183			RMX41374.1
A0A2B4SFZ0	A0A2B4SFZ0_STYPI	unreviewed	Mmrn1 AWC38_SpisGene7785	Stylophora pistillata (Smooth cauliflower coral)	Multimerin-1	265			PFX27518.1
A0A3M6V0L9	A0A3M6V0L9_POCDA	unreviewed	pdam_00024838	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1614	integral component of membrane [GO:0016021]	GO:0016021	RMX59491.1
A0A3M6UUK7	A0A3M6UUK7_POCDA	unreviewed	pdam_00010587	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4134	extracellular region [GO:0005576]; peptidase inhibitor activity [GO:0030414]	GO:0005576; GO:0030414	RMX57254.1
A0A3M6UUA3	A0A3M6UUA3_POCDA	unreviewed	pdam_00010585	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	705	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX57252.1
A0A3M6UUH2	A0A3M6UUH2_POCDA	unreviewed	pdam_00010580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinesin motor domain-containing protein (Fragment)	1141	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	GO:0005524; GO:0007018; GO:0008017; GO:1990939	RMX57247.1
A0A2B4RDJ4	A0A2B4RDJ4_STYPI	unreviewed	AWC38_SpisGene21281	Stylophora pistillata (Smooth cauliflower coral)	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	489	integral component of membrane [GO:0016021]; protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476; GO:0016021	PFX14550.1
A0A3M6TBK6	A0A3M6TBK6_POCDA	unreviewed	pdam_00012442	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein-tyrosine sulfotransferase (EC 2.8.2.20) (Fragment)	302	protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476	RMX38743.1
A0A3M6TBF6	A0A3M6TBF6_POCDA	unreviewed	pdam_00012437	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	472	integral component of membrane [GO:0016021]	GO:0016021	RMX38737.1
A0A3M6TLF7	A0A3M6TLF7_POCDA	unreviewed	pdam_00017314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Vps8 domain-containing protein	1188			RMX42196.1
A0A2B4S3A5	A0A2B4S3A5_STYPI	unreviewed	FCN1 AWC38_SpisGene12489	Stylophora pistillata (Smooth cauliflower coral)	Ficolin-1	1513			PFX22965.1
A0A3M6UVE8	A0A3M6UVE8_POCDA	unreviewed	pdam_00005017	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	772	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX57666.1
A0A3M6T7W3	A0A3M6T7W3_POCDA	unreviewed	pdam_00026038	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	290			RMX37378.1
A0A3M6TLK4	A0A3M6TLK4_POCDA	unreviewed	pdam_00009398	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	840	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]	GO:0005737; GO:0046872	RMX42171.1
A0A3M6T8D0	A0A3M6T8D0_POCDA	unreviewed	pdam_00004308	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Octopine_DH domain-containing protein (Fragment)	409	oxidoreductase activity [GO:0016491]	GO:0016491	RMX37675.1
A0A2B4REC9	A0A2B4REC9_STYPI	unreviewed	SELP AWC38_SpisGene21083	Stylophora pistillata (Smooth cauliflower coral)	P-selectin	550	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]	GO:0016021; GO:0030246	PFX14738.1
A0A3M6UJT3	A0A3M6UJT3_POCDA	unreviewed	pdam_00024350	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein (Fragment)	301	integral component of membrane [GO:0016021]	GO:0016021	RMX53926.1
A0A3M6URF7	A0A3M6URF7_POCDA	unreviewed	pdam_00018228	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	764	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX56231.1
A0A3M6URE2	A0A3M6URE2_POCDA	unreviewed	pdam_00018237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F3_4 domain-containing protein	1081	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX56222.1
A0A3M6URN4	A0A3M6URN4_POCDA	unreviewed	pdam_00018239	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Nucleoprotein TPR	2415	nucleus [GO:0005634]; protein import into nucleus [GO:0006606]	GO:0005634; GO:0006606	RMX56217.1
A0A2B4RZB5	A0A2B4RZB5_STYPI	unreviewed	AWC38_SpisGene13928	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	602			PFX21582.1
A0A3M6U1F0	A0A3M6U1F0_POCDA	unreviewed	pdam_00002160	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	POLAc domain-containing protein	749	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA-dependent DNA replication [GO:0006261]	GO:0003677; GO:0003887; GO:0006261	RMX47437.1
A0A3M6U1E1	A0A3M6U1E1_POCDA	unreviewed	pdam_00002151	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1300	phosphatidylinositol binding [GO:0035091]	GO:0035091	RMX47427.1
A0A2B4SDL4	A0A2B4SDL4_STYPI	unreviewed	AWC38_SpisGene8416	Stylophora pistillata (Smooth cauliflower coral)	Cohesin loading complex subunit SCC4 homolog (MAU2 chromatid cohesion factor homolog)	1957	nucleoplasm [GO:0005654]; mitotic sister chromatid cohesion [GO:0007064]	GO:0005654; GO:0007064	PFX26910.1
A0A2B4RIV6	A0A2B4RIV6_STYPI	unreviewed	AWC38_SpisGene18967	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	918	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX16749.1
A0A3M6UXX6	A0A3M6UXX6_POCDA	unreviewed	pdam_00000072	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	679			RMX58168.1
A0A3M6UYU5	A0A3M6UYU5_POCDA	unreviewed	pdam_00014487	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	532	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]	GO:0016021; GO:0046873	RMX58853.1
A0A2B4RZK1	A0A2B4RZK1_STYPI	unreviewed	trim71 AWC38_SpisGene11532	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	901	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX23884.1
A0A2B4SXE8	A0A2B4SXE8_STYPI	unreviewed	Metap1d AWC38_SpisGene1934	Stylophora pistillata (Smooth cauliflower coral)	Methionine aminopeptidase (EC 3.4.11.18)	774	integral component of membrane [GO:0016021]; alternative oxidase activity [GO:0009916]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]; protein initiator methionine removal [GO:0070084]	GO:0003700; GO:0009916; GO:0016021; GO:0046872; GO:0070006; GO:0070084	PFX33262.1
A0A3M6UL32	A0A3M6UL32_POCDA	unreviewed	pdam_00022132	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	146	integral component of membrane [GO:0016021]	GO:0016021	RMX54345.1
A0A3M6U8U3	A0A3M6U8U3_POCDA	unreviewed	pdam_00002950	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	171	calcium ion binding [GO:0005509]	GO:0005509	RMX50057.1
A0A2B4SQI6	A0A2B4SQI6_STYPI	unreviewed	AWC38_SpisGene2958	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	478			PFX32171.1
A0A3M6U2G5	A0A3M6U2G5_POCDA	unreviewed	pdam_00012330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	482	calcium ion binding [GO:0005509]	GO:0005509	RMX47724.1
A0A3M6UYK3	A0A3M6UYK3_POCDA	unreviewed	pdam_00009530	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	299			RMX58690.1
A0A3M6UYM3	A0A3M6UYM3_POCDA	unreviewed	pdam_00009527	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	655			RMX58710.1
A0A3M6UYQ0	A0A3M6UYQ0_POCDA	unreviewed	pdam_00009526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1149	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	GO:0005507; GO:0016491	RMX58709.1
A0A3M6UYL3	A0A3M6UYL3_POCDA	unreviewed	pdam_00009524	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	182	integral component of membrane [GO:0016021]	GO:0016021	RMX58707.1
A0A3M6UYF1	A0A3M6UYF1_POCDA	unreviewed	pdam_00009522	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1363	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	GO:0005507; GO:0016491	RMX58713.1
A0A3M6UYF7	A0A3M6UYF7_POCDA	unreviewed	pdam_00009520	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CLP1_P domain-containing protein (Fragment)	563	ATP binding [GO:0005524]	GO:0005524	RMX58711.1
A0A3M6UYH1	A0A3M6UYH1_POCDA	unreviewed	pdam_00009516	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UBP-type domain-containing protein	152	zinc ion binding [GO:0008270]	GO:0008270	RMX58722.1
A0A3M6UYN2	A0A3M6UYN2_POCDA	unreviewed	pdam_00009514	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1130	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	GO:0005507; GO:0016491	RMX58720.1
A0A3M6TH50	A0A3M6TH50_POCDA	unreviewed	pdam_00023532	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	235			RMX40661.1
A0A3M6T9X8	A0A3M6T9X8_POCDA	unreviewed	pdam_00023361	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4555			RMX38185.1
A0A3M6TZ78	A0A3M6TZ78_POCDA	unreviewed	pdam_00023914	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1542			RMX46687.1
A0A2B4S2N1	A0A2B4S2N1_STYPI	unreviewed	Uap1 AWC38_SpisGene12421	Stylophora pistillata (Smooth cauliflower coral)	UDP-N-acetylhexosamine pyrophosphorylase	492	uridylyltransferase activity [GO:0070569]	GO:0070569	PFX23040.1
A0A3M6TM83	A0A3M6TM83_POCDA	unreviewed	pdam_00021739	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein	178			RMX42428.1
A0A2B4R2J0	A0A2B4R2J0_STYPI	unreviewed	AWC38_SpisGene24930	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	1534			PFX11376.1
A0A3M6TGV1	A0A3M6TGV1_POCDA	unreviewed	pdam_00023885	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	243			RMX40613.1
A0A3M6T862	A0A3M6T862_POCDA	unreviewed	pdam_00007904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3883 domain-containing protein (Fragment)	2709			RMX37597.1
A0A2B4RY05	A0A2B4RY05_STYPI	unreviewed	AWC38_SpisGene14301	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	756			PFX21218.1
A0A3M6T834	A0A3M6T834_POCDA	unreviewed	pdam_00016612	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	738			RMX37566.1
A0A3M6T8F8	A0A3M6T8F8_POCDA	unreviewed	pdam_00016606	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2356	integral component of membrane [GO:0016021]	GO:0016021	RMX37578.1
A0A2B4SIF6	A0A2B4SIF6_STYPI	unreviewed	AWC38_SpisGene4761	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	297			PFX30444.1
A0A3M6UAC4	A0A3M6UAC4_POCDA	unreviewed	pdam_00009686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	727			RMX50632.1
A0A3M6UAI2	A0A3M6UAI2_POCDA	unreviewed	pdam_00009694	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PGA_cap domain-containing protein	373			RMX50611.1
A0A3M6UAS7	A0A3M6UAS7_POCDA	unreviewed	pdam_00009693	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PGA_cap domain-containing protein	321			RMX50614.1
A0A2B4RJF9	A0A2B4RJF9_STYPI	unreviewed	LRRC1 AWC38_SpisGene18369	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein 1	2679	protein dimerization activity [GO:0046983]	GO:0046983	PFX17316.1
A0A3M6TXS1	A0A3M6TXS1_POCDA	unreviewed	pdam_00007853	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	AAA domain-containing protein (Fragment)	3194	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0005524; GO:0016887	RMX46172.1
A0A3M6UK39	A0A3M6UK39_POCDA	unreviewed	pdam_00022334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glycos_transf_1 domain-containing protein (Fragment)	683	cysteine-type endopeptidase activity [GO:0004197]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0004197; GO:0016757	RMX54007.1
A0A3M6U7Y2	A0A3M6U7Y2_POCDA	unreviewed	pdam_00019757	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	352	integral component of membrane [GO:0016021]	GO:0016021	RMX49770.1
A0A3M6U7X0	A0A3M6U7X0_POCDA	unreviewed	pdam_00019764	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	933	SAGA complex [GO:0000124]; transcription coregulator activity [GO:0003712]	GO:0000124; GO:0003712	RMX49765.1
A0A3M6TW03	A0A3M6TW03_POCDA	unreviewed	pdam_00016059	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	324			RMX45449.1
A0A2B4SFC6	A0A2B4SFC6_STYPI	unreviewed	Rhoa AWC38_SpisGene5891	Stylophora pistillata (Smooth cauliflower coral)	Transforming protein RhoA	402	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264]	GO:0003924; GO:0005525; GO:0007264	PFX29364.1
A0A2B4SJV5	A0A2B4SJV5_STYPI	unreviewed	RHO AWC38_SpisGene5890	Stylophora pistillata (Smooth cauliflower coral)	Ras-like GTP-binding protein RHO	399	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264]	GO:0003924; GO:0005525; GO:0007264	PFX29363.1
A0A3M6TVR7	A0A3M6TVR7_POCDA	unreviewed	pdam_00016068	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	749			RMX45451.1
A0A3M6TVQ6	A0A3M6TVQ6_POCDA	unreviewed	pdam_00016070	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F5/8 type C domain-containing protein	752	integral component of membrane [GO:0016021]	GO:0016021	RMX45446.1
A0A3M6TVJ1	A0A3M6TVJ1_POCDA	unreviewed	pdam_00016072	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	743	integral component of membrane [GO:0016021]	GO:0016021	RMX45445.1
A0A2B4RKB1	A0A2B4RKB1_STYPI	unreviewed	AWC38_SpisGene19020	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	499			PFX16695.1
A0A3M6TYQ4	A0A3M6TYQ4_POCDA	unreviewed	pdam_00024855	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	177	integral component of membrane [GO:0016021]	GO:0016021	RMX46481.1
A0A3M6TYJ2	A0A3M6TYJ2_POCDA	unreviewed	pdam_00024852	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	276	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX46483.1
A0A3M6UZD1	A0A3M6UZD1_POCDA	unreviewed	pdam_00021834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	579	signaling adaptor activity [GO:0035591]; signal transduction [GO:0007165]	GO:0007165; GO:0035591	RMX58977.1
A0A2B4S1W9	A0A2B4S1W9_STYPI	unreviewed	Cux1 AWC38_SpisGene11523	Stylophora pistillata (Smooth cauliflower coral)	Protein CASP	882	integral component of Golgi membrane [GO:0030173]; intra-Golgi vesicle-mediated transport [GO:0006891]	GO:0006891; GO:0030173	PFX23901.1
A0A2B4RXK3	A0A2B4RXK3_STYPI	unreviewed	Btbd6 AWC38_SpisGene13981	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein 6	887	cytoplasm [GO:0005737]	GO:0005737	PFX21529.1
A0A3M6TX77	A0A3M6TX77_POCDA	unreviewed	pdam_00020229	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1223	extracellular region [GO:0005576]; nematocyst [GO:0042151]; chitin binding [GO:0008061]; toxin activity [GO:0090729]	GO:0005576; GO:0008061; GO:0042151; GO:0090729	RMX45976.1
A0A3M6U4T5	A0A3M6U4T5_POCDA	unreviewed	pdam_00008502	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	781	protein homooligomerization [GO:0051260]	GO:0051260	RMX48488.1
