Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434516
A0A3M6ULS4	A0A3M6ULS4_POCDA	unreviewed	pdam_00023671	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1155	integral component of membrane [GO:0016021]	GO:0016021	RMX54592.1
A0A2B4QZ47	A0A2B4QZ47_STYPI	unreviewed	AWC38_SpisGene24749	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	165			PFX11494.1
A0A2B4R5C4	A0A2B4R5C4_STYPI	unreviewed	AWC38_SpisGene22361	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	562	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX13544.1
A0A2B4RAU9	A0A2B4RAU9_STYPI	unreviewed	RTase AWC38_SpisGene22269	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	1231	protein dimerization activity [GO:0046983]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0046983	PFX13630.1
A0A3M6UUX9	A0A3M6UUX9_POCDA	unreviewed	pdam_00020867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	230			RMX57472.1
A0A3M6UFB4	A0A3M6UFB4_POCDA	unreviewed	pdam_00024113	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	394	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX52108.1
A0A2B4SJZ0	A0A2B4SJZ0_STYPI	unreviewed	AWC38_SpisGene6395	Stylophora pistillata (Smooth cauliflower coral)	GIY-YIG domain-containing protein	1309			PFX28898.1
A0A2B4RER5	A0A2B4RER5_STYPI	unreviewed	AWC38_SpisGene20990	Stylophora pistillata (Smooth cauliflower coral)	Endo/exonuclease/phosphatase domain-containing protein	337			PFX14827.1
A0A3M6U047	A0A3M6U047_POCDA	unreviewed	pdam_00009587	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	234			RMX47012.1
A0A3M6TEA8	A0A3M6TEA8_POCDA	unreviewed	pdam_00008083	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	245			RMX39703.1
A0A2B4S831	A0A2B4S831_STYPI	unreviewed	AWC38_SpisGene10207	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	532			PFX25193.1
A0A3M6V793	A0A3M6V793_POCDA	unreviewed	pdam_00024642	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Endo/exonuclease/phosphatase domain-containing protein	604			RMX61404.1
A0A2B4S0B8	A0A2B4S0B8_STYPI	unreviewed	TTC28 AWC38_SpisGene12627	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1330			PFX22856.1
A0A3M6V305	A0A3M6V305_POCDA	unreviewed	pdam_00021438	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C-type lectin domain-containing protein (Fragment)	227			RMX60285.1
A0A2B4R643	A0A2B4R643_STYPI	unreviewed	jockey\pol AWC38_SpisGene24156	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	650	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX11960.1
A0A2B4R4F8	A0A2B4R4F8_STYPI	unreviewed	AWC38_SpisGene24065	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	707			PFX12036.1
A0A2B4R546	A0A2B4R546_STYPI	unreviewed	GBP6 AWC38_SpisGene23230	Stylophora pistillata (Smooth cauliflower coral)	Guanylate-binding protein 6	744	integral component of membrane [GO:0016021]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0016021	PFX12761.1
A0A3M6UPA5	A0A3M6UPA5_POCDA	unreviewed	pdam_00019376	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	458			RMX55455.1
A0A2B4SVA7	A0A2B4SVA7_STYPI	unreviewed	AWC38_SpisGene2087	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	879			PFX33033.1
A0A3M6UHP5	A0A3M6UHP5_POCDA	unreviewed	pdam_00021925	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	150	calcium ion binding [GO:0005509]	GO:0005509	RMX53146.1
A0A3M6U0F1	A0A3M6U0F1_POCDA	unreviewed	pdam_00016215	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	979			RMX47140.1
A0A3M6TW04	A0A3M6TW04_POCDA	unreviewed	pdam_00013127	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	307	acetylcholine-gated channel complex [GO:0005892]	GO:0005892	RMX45580.1
A0A2B4RL27	A0A2B4RL27_STYPI	unreviewed	POL AWC38_SpisGene18748	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	900	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX16952.1
A0A2B4STF5	A0A2B4STF5_STYPI	unreviewed	pol AWC38_SpisGene2762	Stylophora pistillata (Smooth cauliflower coral)	Pol polyprotein	2471	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	PFX32353.1
A0A3M6U8H2	A0A3M6U8H2_POCDA	unreviewed	pdam_00017286	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	258	integral component of membrane [GO:0016021]	GO:0016021	RMX49911.1
A0A3M6UVM2	A0A3M6UVM2_POCDA	unreviewed	pdam_00025707	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	945			RMX57594.1
A0A3M6TXW2	A0A3M6TXW2_POCDA	unreviewed	pdam_00022549	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	548			RMX46212.1
A0A2B4RQ82	A0A2B4RQ82_STYPI	unreviewed	pol AWC38_SpisGene16640	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	688			PFX18959.1
A0A2B4SRF5	A0A2B4SRF5_STYPI	unreviewed	K02A2.6 AWC38_SpisGene4151	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	1145	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX31077.1
A0A3M6TFI0	A0A3M6TFI0_POCDA	unreviewed	pdam_00025952	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	257			RMX40166.1
A0A3M6U040	A0A3M6U040_POCDA	unreviewed	pdam_00009621	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	526			RMX47045.1
A0A3M6T6B6	A0A3M6T6B6_POCDA	unreviewed	pdam_00000942	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	926	integral component of membrane [GO:0016021]	GO:0016021	RMX36902.1
A0A3M6V0X8	A0A3M6V0X8_POCDA	unreviewed	pdam_00025640	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	270			RMX59489.1
A0A3M6V1Q0	A0A3M6V1Q0_POCDA	unreviewed	pdam_00022557	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	B box-type domain-containing protein	985	zinc ion binding [GO:0008270]	GO:0008270	RMX59873.1
A0A3M6V2E8	A0A3M6V2E8_POCDA	unreviewed	pdam_00025790	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	513			RMX59738.1
A0A0K0QVC8	A0A0K0QVC8_FIMAN	unreviewed		Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	Notch-like protein	1749	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; Notch signaling pathway [GO:0007219]; regulation of developmental process [GO:0050793]	GO:0005509; GO:0005634; GO:0005886; GO:0007219; GO:0007275; GO:0016021; GO:0030154; GO:0050793	AKR17062.1
A0A3M6UMC8	A0A3M6UMC8_POCDA	unreviewed	pdam_00022540	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	120			RMX54816.1
A0A2B4S5T5	A0A2B4S5T5_STYPI	unreviewed	mkkA AWC38_SpisGene10631	Stylophora pistillata (Smooth cauliflower coral)	Mitogen-activated protein kinase kinase kinase A	1499	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	PFX24756.1
A0A2B4RR18	A0A2B4RR18_STYPI	unreviewed	AWC38_SpisGene16829	Stylophora pistillata (Smooth cauliflower coral)	Integrase catalytic domain-containing protein	1611	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX18797.1
A0A2B4SLR3	A0A2B4SLR3_STYPI	unreviewed	AWC38_SpisGene5144	Stylophora pistillata (Smooth cauliflower coral)	DNA-directed DNA polymerase (EC 2.7.7.7)	814	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	PFX30059.1
A0A2B4S6Q4	A0A2B4S6Q4_STYPI	unreviewed	pol AWC38_SpisGene10632	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	1263	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX24759.1
A0A3M6V1F1	A0A3M6V1F1_POCDA	unreviewed	pdam_00020262	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	142			RMX59604.1
A0A3M6TN65	A0A3M6TN65_POCDA	unreviewed	pdam_00025677	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	156	integral component of membrane [GO:0016021]	GO:0016021	RMX42820.1
A0A432I433	A0A432I433_9GAMM	unreviewed	DSY43_05490	Gammaproteobacteria bacterium	Uncharacterized protein (Fragment)	992			RUA05016.1
A0A2B4R887	A0A2B4R887_STYPI	unreviewed	nphp3 AWC38_SpisGene23427	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	906	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX12588.1
A0A2B4R6G0	A0A2B4R6G0_STYPI	unreviewed	PRKRIR AWC38_SpisGene22706	Stylophora pistillata (Smooth cauliflower coral)	52 kDa repressor of the inhibitor of the protein kinase	631	kinase activity [GO:0016301]; protein dimerization activity [GO:0046983]	GO:0016301; GO:0046983	PFX13231.1
A0A3M6TH89	A0A3M6TH89_POCDA	unreviewed	pdam_00020836	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	896			RMX40763.1
A0A2B4RGZ8	A0A2B4RGZ8_STYPI	unreviewed	PGBD5 AWC38_SpisGene20022	Stylophora pistillata (Smooth cauliflower coral)	PiggyBac transposable element-derived protein 5	1072			PFX15760.1
A0A3M6TB02	A0A3M6TB02_POCDA	unreviewed	pdam_00016778	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	343			RMX38468.1
A0A2B4T1N6	A0A2B4T1N6_STYPI	unreviewed	RTase AWC38_SpisGene389	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	696	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX34702.1
A0A3M6TSW4	A0A3M6TSW4_POCDA	unreviewed	pdam_00018134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	726			RMX44547.1
A0A3M6T4A1	A0A3M6T4A1_POCDA	unreviewed	pdam_00025706	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	609			RMX34930.1
A0A3M6UD72	A0A3M6UD72_POCDA	unreviewed	pdam_00025783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	234			RMX51516.1
A0A2B4RED9	A0A2B4RED9_STYPI	unreviewed	AWC38_SpisGene21120	Stylophora pistillata (Smooth cauliflower coral)	Tyrosine-protein kinase SPK-1	1542	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX14707.1
A0A2B4RCK7	A0A2B4RCK7_STYPI	unreviewed	AWC38_SpisGene21892	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	201			PFX13992.1
A0A2B4Q249	A0A2B4Q249_STYPI	unreviewed	TTC28 AWC38_SpisGene25705	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28 (Fragment)	357			PFW98156.1
A0A2B4STX4	A0A2B4STX4_STYPI	unreviewed	AWC38_SpisGene2429	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	401			PFX32796.1
A0A432I1K7	A0A432I1K7_9GAMM	unreviewed	DSY43_07085	Gammaproteobacteria bacterium	Reverse transcriptase domain-containing protein	1023			RUA04113.1
A0A2B4R7H2	A0A2B4R7H2_STYPI	unreviewed	K02A2.6 AWC38_SpisGene22313	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	629	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	PFX13591.1
A0A2B4R9X2	A0A2B4R9X2_STYPI	unreviewed	pol AWC38_SpisGene22775	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	701	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13167.1
A0A2B4R5K1	A0A2B4R5K1_STYPI	unreviewed	AWC38_SpisGene24737	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	551			PFX11502.1
A0A2B4S535	A0A2B4S535_STYPI	unreviewed	AWC38_SpisGene9561	Stylophora pistillata (Smooth cauliflower coral)	DDE_Tnp_IS1595 domain-containing protein	537			PFX25804.1
A0A3M6UYC5	A0A3M6UYC5_POCDA	unreviewed	pdam_00022560	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	422	integral component of membrane [GO:0016021]	GO:0016021	RMX58524.1
A0A2B4S956	A0A2B4S956_STYPI	unreviewed	AWC38_SpisGene10311	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	495			PFX25072.1
A0A3M6TI12	A0A3M6TI12_POCDA	unreviewed	pdam_00023062	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	172			RMX40949.1
A0A3M6TI01	A0A3M6TI01_POCDA	unreviewed	pdam_00011563	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrase catalytic domain-containing protein	1819	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	RMX41025.1
A0A2B4SZW6	A0A2B4SZW6_STYPI	unreviewed	RTase AWC38_SpisGene893	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	515	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016706	PFX34112.1
A0A2B4SVK7	A0A2B4SVK7_STYPI	unreviewed	PRSS21 AWC38_SpisGene2609	Stylophora pistillata (Smooth cauliflower coral)	Testisin	929	serine-type endopeptidase activity [GO:0004252]	GO:0004252	PFX32572.1
A0A3M6UC96	A0A3M6UC96_POCDA	unreviewed	pdam_00004644	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	108			RMX51275.1
A0A3M6UIW7	A0A3M6UIW7_POCDA	unreviewed	pdam_00025543	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	375	metal ion binding [GO:0046872]	GO:0046872	RMX53611.1
A0A2B4RVP7	A0A2B4RVP7_STYPI	unreviewed	Klhl2 AWC38_SpisGene13813	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like protein 2	1235			PFX21681.1
A0A2B4R3B9	A0A2B4R3B9_STYPI	unreviewed	TTC28 AWC38_SpisGene25595	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28 (Fragment)	309			PFX11010.1
A0A3M6TU73	A0A3M6TU73_POCDA	unreviewed	pdam_00017358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	407			RMX44977.1
A0A3M6TPA5	A0A3M6TPA5_POCDA	unreviewed	pdam_00006875	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	88			RMX43151.1
A0A2B4RIX3	A0A2B4RIX3_STYPI	unreviewed	ASTE1 AWC38_SpisGene18558	Stylophora pistillata (Smooth cauliflower coral)	Protein asteroid-like 1	1110			PFX17136.1
A0A3M6TTY7	A0A3M6TTY7_POCDA	unreviewed	pdam_00020004	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	559	integral component of membrane [GO:0016021]; GTPase activity [GO:0003924]; nucleotide binding [GO:0000166]	GO:0000166; GO:0003924; GO:0016021	RMX44872.1
A0A2B4S373	A0A2B4S373_STYPI	unreviewed	AWC38_SpisGene12247	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	499	metal ion binding [GO:0046872]	GO:0046872	PFX23230.1
A0A3M6TUE7	A0A3M6TUE7_POCDA	unreviewed	pdam_00009265	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	255			RMX44844.1
A0A3M6TZZ3	A0A3M6TZZ3_POCDA	unreviewed	pdam_00025835	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	640			RMX46808.1
A0A3M6TM83	A0A3M6TM83_POCDA	unreviewed	pdam_00021739	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein	178			RMX42428.1
A0A3M6UQ18	A0A3M6UQ18_POCDA	unreviewed	pdam_00024424	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	111			RMX55777.1
A0A2B4R8Q0	A0A2B4R8Q0_STYPI	unreviewed	AWC38_SpisGene21857	Stylophora pistillata (Smooth cauliflower coral)	Putative 115 kDa protein	498			PFX14021.1
A0A2B4SAL0	A0A2B4SAL0_STYPI	unreviewed	AWC38_SpisGene8408	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	437			PFX26921.1
A0A3M6UR30	A0A3M6UR30_POCDA	unreviewed	pdam_00019938	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	305	peptidase activity [GO:0008233]	GO:0008233	RMX56110.1
A0A2B4RZ30	A0A2B4RZ30_STYPI	unreviewed	TTC28 AWC38_SpisGene12584	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1918			PFX22891.1
A0A3M6V0I8	A0A3M6V0I8_POCDA	unreviewed	pdam_00025613	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	359	integral component of membrane [GO:0016021]	GO:0016021	RMX59410.1
A0A3M6TCH3	A0A3M6TCH3_POCDA	unreviewed	pdam_00019522	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	185			RMX39018.1
A0A3M6USM5	A0A3M6USM5_POCDA	unreviewed	pdam_00002372	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	804			RMX56650.1
A0A2B4SFK7	A0A2B4SFK7_STYPI	unreviewed	Cacna2d2 AWC38_SpisGene8088	Stylophora pistillata (Smooth cauliflower coral)	Voltage-dependent calcium channel subunit alpha-2/delta-2	1606	integral component of membrane [GO:0016021]; endonuclease activity [GO:0004519]	GO:0004519; GO:0016021	PFX27225.1
A0A3M6USN1	A0A3M6USN1_POCDA	unreviewed	pdam_00025621	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein (Fragment)	511	integral component of membrane [GO:0016021]	GO:0016021	RMX56686.1
A0A2B4S9H1	A0A2B4S9H1_STYPI	unreviewed	F52C9.6 AWC38_SpisGene10164	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F52C9.6	903			PFX25237.1
A0A2B4R0T7	A0A2B4R0T7_STYPI	unreviewed	TTC28 AWC38_SpisGene24106	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1005			PFX12004.1
A0A2B4RFA4	A0A2B4RFA4_STYPI	unreviewed	ZNF862 AWC38_SpisGene20740	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger protein 862	721			PFX15058.1
A0A2B4RV68	A0A2B4RV68_STYPI	unreviewed	POL AWC38_SpisGene14028	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	1162	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX21491.1
A0A2B4SGY7	A0A2B4SGY7_STYPI	unreviewed	AWC38_SpisGene7493	Stylophora pistillata (Smooth cauliflower coral)	Amine oxidase (EC 1.4.3.-)	385	copper ion binding [GO:0005507]; primary amine oxidase activity [GO:0008131]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]	GO:0005507; GO:0008131; GO:0009308; GO:0048038	PFX27827.1
A0A3M6UA62	A0A3M6UA62_POCDA	unreviewed	pdam_00025857	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	182			RMX50424.1
A0A2B4RBJ7	A0A2B4RBJ7_STYPI	unreviewed	AWC38_SpisGene22005	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	292	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13880.1
A0A2B4RUZ1	A0A2B4RUZ1_STYPI	unreviewed	pol AWC38_SpisGene15432	Stylophora pistillata (Smooth cauliflower coral)	Pro-Pol polyprotein	703	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX20138.1
A0A3M6USD6	A0A3M6USD6_POCDA	unreviewed	pdam_00002380	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	520			RMX56613.1
A0A2B4RBA5	A0A2B4RBA5_STYPI	unreviewed	K02A2.6 AWC38_SpisGene22241	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	357	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX13658.1
A0A2B4RN83	A0A2B4RN83_STYPI	unreviewed	AWC38_SpisGene16508	Stylophora pistillata (Smooth cauliflower coral)	EGF-like domain-containing protein	661			PFX19071.1
A0A2B4S2I1	A0A2B4S2I1_STYPI	unreviewed	pol AWC38_SpisGene12788	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	814	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX22695.1
A0A2B4R5V8	A0A2B4R5V8_STYPI	unreviewed	ZNF862 AWC38_SpisGene22154	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger protein 862	354			PFX13734.1
A0A3M6TF12	A0A3M6TF12_POCDA	unreviewed	pdam_00007117	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	159			RMX39804.1
A0A3M6UGB0	A0A3M6UGB0_POCDA	unreviewed	pdam_00024611	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	251			RMX52418.1
A0A2B4SIU8	A0A2B4SIU8_STYPI	unreviewed	K02A2.6 AWC38_SpisGene5947	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	523			PFX29296.1
A0A2B4R9Q1	A0A2B4R9Q1_STYPI	unreviewed	AWC38_SpisGene21486	Stylophora pistillata (Smooth cauliflower coral)	Endo/exonuclease/phosphatase domain-containing protein	725			PFX14361.1
A0A2B4SGI2	A0A2B4SGI2_STYPI	unreviewed	AWC38_SpisGene6272	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein LOC400891-like	856	calcium ion binding [GO:0005509]	GO:0005509	PFX29001.1
A0A2B4SWB4	A0A2B4SWB4_STYPI	unreviewed	AWC38_SpisGene2016	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX33160.1
A0A2B4R839	A0A2B4R839_STYPI	unreviewed	Tf2-9 AWC38_SpisGene22962	Stylophora pistillata (Smooth cauliflower coral)	Transposon Tf2-9 polyprotein	1284	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX12999.1
A0A2B4R5D6	A0A2B4R5D6_STYPI	unreviewed	AWC38_SpisGene24747	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	105			PFX11495.1
A0A3M6URH3	A0A3M6URH3_POCDA	unreviewed	pdam_00015871	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	104			RMX56199.1
A0A2B4T2A8	A0A2B4T2A8_STYPI	unreviewed	K02A2.6 AWC38_SpisGene370	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	1166	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX34797.1
A0A3M6TNA2	A0A3M6TNA2_POCDA	unreviewed	pdam_00024821	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	268			RMX42714.1
A0A3M6UR02	A0A3M6UR02_POCDA	unreviewed	pdam_00024425	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	633			RMX55778.1
A0A2B4RCM2	A0A2B4RCM2_STYPI	unreviewed	CFDP2 AWC38_SpisGene21741	Stylophora pistillata (Smooth cauliflower coral)	Craniofacial development protein 2	998			PFX14128.1
A0A2B4RQA5	A0A2B4RQA5_STYPI	unreviewed	pol AWC38_SpisGene17224	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	522	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX18412.1
A0A2B4RW37	A0A2B4RW37_STYPI	unreviewed	AWC38_SpisGene15123	Stylophora pistillata (Smooth cauliflower coral)	Integrase catalytic domain-containing protein	647	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX20422.1
A0A2B4RDI6	A0A2B4RDI6_STYPI	unreviewed	AWC38_SpisGene20572	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	157			PFX15216.1
A0A2B4SIX4	A0A2B4SIX4_STYPI	unreviewed	pol AWC38_SpisGene6909	Stylophora pistillata (Smooth cauliflower coral)	Pro-Pol polyprotein	1103	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX28395.1
