Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442E97
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A2B4RKB2	A0A2B4RKB2_STYPI	unreviewed	AWC38_SpisGene18773	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX16930.1
A0A3M6TV46	A0A3M6TV46_POCDA	unreviewed	pdam_00022784	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	608	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX45158.1
A0A2B4S4T8	A0A2B4S4T8_STYPI	unreviewed	AWC38_SpisGene11333	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	763	calcium ion binding [GO:0005509]	GO:0005509	PFX24063.1
A0A2B4REF9	A0A2B4REF9_STYPI	unreviewed	Nlrp12 AWC38_SpisGene21054	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	1279	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX14768.1
A0A3M6TEI4	A0A3M6TEI4_POCDA	unreviewed	pdam_00007115	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	389			RMX39806.1
A0A3M6V1F6	A0A3M6V1F6_POCDA	unreviewed	pdam_00015340	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	338	bioluminescence [GO:0008218]	GO:0008218	RMX59755.1
A0A3M6TLJ3	A0A3M6TLJ3_POCDA	unreviewed	pdam_00009408	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltransf_25 domain-containing protein	185			RMX42161.1
A0A3M6TRL7	A0A3M6TRL7_POCDA	unreviewed	pdam_00017573	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	101			RMX43986.1
A0A2B4RK52	A0A2B4RK52_STYPI	unreviewed	C1qb AWC38_SpisGene18113	Stylophora pistillata (Smooth cauliflower coral)	Complement C1q subcomponent subunit B	324	integral component of membrane [GO:0016021]	GO:0016021	PFX17556.1
A0A2B4RMV0	A0A2B4RMV0_STYPI	unreviewed	Wdr33 AWC38_SpisGene18107	Stylophora pistillata (Smooth cauliflower coral)	Pre-mRNA 3' end processing protein WDR33	330	integral component of membrane [GO:0016021]	GO:0016021	PFX17562.1
A0A3M6T5I6	A0A3M6T5I6_POCDA	unreviewed	pdam_00017173	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	257			RMX36569.1
A0A3M6TGE9	A0A3M6TGE9_POCDA	unreviewed	pdam_00018832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	503	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX40475.1
A0A3M6U2G5	A0A3M6U2G5_POCDA	unreviewed	pdam_00012330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	482	calcium ion binding [GO:0005509]	GO:0005509	RMX47724.1
A0A2B4RJ74	A0A2B4RJ74_STYPI	unreviewed	POU1F1 AWC38_SpisGene19178	Stylophora pistillata (Smooth cauliflower coral)	POU domain protein	645	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sulfotransferase activity [GO:0008146]	GO:0000139; GO:0000981; GO:0003677; GO:0005634; GO:0008146; GO:0016021	PFX16540.1
A0A3M6UMD5	A0A3M6UMD5_POCDA	unreviewed	pdam_00004579	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BAG domain-containing protein	423	chaperone binding [GO:0051087]	GO:0051087	RMX54518.1
A0A3M6ULV7	A0A3M6ULV7_POCDA	unreviewed	pdam_00004576	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	793	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX54524.1
A0A3M6ULI5	A0A3M6ULI5_POCDA	unreviewed	pdam_00004573	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	128			RMX54521.1
A0A3M6UFB4	A0A3M6UFB4_POCDA	unreviewed	pdam_00024113	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	394	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX52108.1
A0A3M6UCB5	A0A3M6UCB5_POCDA	unreviewed	pdam_00004086	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	517			RMX51189.1
A0A3M6U9J6	A0A3M6U9J6_POCDA	unreviewed	pdam_00021277	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203	integral component of membrane [GO:0016021]	GO:0016021	RMX50281.1
A0A2B4R905	A0A2B4R905_STYPI	unreviewed	AWC38_SpisGene23105	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	260			PFX12868.1
A0A3M6TXL2	A0A3M6TXL2_POCDA	unreviewed	pdam_00017709	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Histone H2B	230	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005634; GO:0046982	RMX46137.1
A0A2B4S3T9	A0A2B4S3T9_STYPI	unreviewed	2 AWC38_SpisGene12240	Stylophora pistillata (Smooth cauliflower coral)	Histone H2A	293	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0005634; GO:0006334; GO:0046982	PFX23228.1
A0A2B4S3P3	A0A2B4S3P3_STYPI	unreviewed	2 AWC38_SpisGene10883	Stylophora pistillata (Smooth cauliflower coral)	Histone H3	290	nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334; GO:0046982	PFX24511.1
A0A2A3EQ39	A0A2A3EQ39_APICC	unreviewed	APICC_09503	Apis cerana cerana (Oriental honeybee)	Histone H2B	380	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0005634; GO:0006334; GO:0046982	PBC33346.1
A0A6G0JAQ8	A0A6G0JAQ8_LARCR	unreviewed	D5F01_LYC00834	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	Histone H4	207	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; DNA-templated transcription, initiation [GO:0006352]	GO:0000786; GO:0003677; GO:0005634; GO:0006352; GO:0046982	KAE8300687.1
A0A3M6U0D4	A0A3M6U0D4_POCDA	unreviewed	pdam_00009603	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RNA-directed RNA polymerase (EC 2.7.7.48)	2118	RNA binding [GO:0003723]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; gene silencing by RNA [GO:0031047]	GO:0003723; GO:0003968; GO:0031047	RMX47029.1
A0A2B4S0C6	A0A2B4S0C6_STYPI	unreviewed	AWC38_SpisGene13468	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	79			PFX22018.1
A0A3M6V519	A0A3M6V519_POCDA	unreviewed	pdam_00014199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	583	plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411	RMX60985.1
A0A3M6TI12	A0A3M6TI12_POCDA	unreviewed	pdam_00023062	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	172			RMX40949.1
A0A2B4RVY4	A0A2B4RVY4_STYPI	unreviewed	PKD1 AWC38_SpisGene15081	Stylophora pistillata (Smooth cauliflower coral)	Polycystin-1	2320	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005886; GO:0016021	PFX20488.1
A0A3M6V625	A0A3M6V625_POCDA	unreviewed	pdam_00018074	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	240			RMX61319.1
A0A2B4ST02	A0A2B4ST02_STYPI	unreviewed	Try3 AWC38_SpisGene3512	Stylophora pistillata (Smooth cauliflower coral)	Cationic trypsin-3	707	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; nematocyst [GO:0042151]; serine-type endopeptidase activity [GO:0004252]; toxin activity [GO:0090729]	GO:0004252; GO:0005576; GO:0016021; GO:0042151; GO:0090729	PFX31617.1
A0A3M6TT92	A0A3M6TT92_POCDA	unreviewed	pdam_00002800	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1637	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; cell adhesion [GO:0007155]	GO:0005509; GO:0007155; GO:0030246	RMX44615.1
A0A3M6TQ34	A0A3M6TQ34_POCDA	unreviewed	pdam_00001927	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1016	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	RMX43523.1
A0A3M6TZB8	A0A3M6TZB8_POCDA	unreviewed	pdam_00007695	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SH2 domain-containing protein (Fragment)	426	signal transduction [GO:0007165]	GO:0007165	RMX46740.1
A0A3M6TZR9	A0A3M6TZR9_POCDA	unreviewed	pdam_00007693	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	457	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	RMX46738.1
A0A3M6U7A8	A0A3M6U7A8_POCDA	unreviewed	pdam_00019484	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	3767	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	RMX49507.1
A0A2B4RVL5	A0A2B4RVL5_STYPI	unreviewed	AWC38_SpisGene15202	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	88			PFX20358.1
A0A3M6TM61	A0A3M6TM61_POCDA	unreviewed	pdam_00020424	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	394	extracellular region [GO:0005576]; lysosome [GO:0005764]; sphingolipid metabolic process [GO:0006665]	GO:0005576; GO:0005764; GO:0006665	RMX42497.1
A0A3M6TQ26	A0A3M6TQ26_POCDA	unreviewed	pdam_00020474	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	3'-5' exonuclease domain-containing protein	331	3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008408	RMX43364.1
A0A2B4S1J6	A0A2B4S1J6_STYPI	unreviewed	AWC38_SpisGene11646	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	721			PFX23781.1
A0A498LP56	A0A498LP56_LABRO	unreviewed	ROHU_031816	Labeo rohita (Indian major carp) (Cyprinus rohita)	RNA-directed DNA polymerase from mobile element jockey-like protein	1112	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	RXN08554.1
A0A2B4R1B6	A0A2B4R1B6_STYPI	unreviewed	AWC38_SpisGene23921	Stylophora pistillata (Smooth cauliflower coral)	PHD-type domain-containing protein	585	metal ion binding [GO:0046872]	GO:0046872	PFX12164.1
A0A3M6U1T2	A0A3M6U1T2_POCDA	unreviewed	pdam_00018995	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	646	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197	RMX47581.1
A0A2B4S7U3	A0A2B4S7U3_STYPI	unreviewed	Rchy1 AWC38_SpisGene10221	Stylophora pistillata (Smooth cauliflower coral)	RING finger and CHY zinc finger domain-containing protein 1	2904	zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]	GO:0008270; GO:0042981	PFX25159.1
A0A2B4SDS3	A0A2B4SDS3_STYPI	unreviewed	G2E3 AWC38_SpisGene8362	Stylophora pistillata (Smooth cauliflower coral)	G2/M phase-specific E3 ubiquitin-protein ligase	622	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	PFX26970.1
A0A3M6V547	A0A3M6V547_POCDA	unreviewed	pdam_00007571	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3702	integral component of membrane [GO:0016021]	GO:0016021	RMX61017.1
A0A3M6TR58	A0A3M6TR58_POCDA	unreviewed	pdam_00023929	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1127			RMX43829.1
A0A3M6TCZ1	A0A3M6TCZ1_POCDA	unreviewed	pdam_00021477	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1353	metal ion binding [GO:0046872]	GO:0046872	RMX39159.1
A0A3M6TCR6	A0A3M6TCR6_POCDA	unreviewed	pdam_00021474	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	426	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX39160.1
A0A3M6TTQ2	A0A3M6TTQ2_POCDA	unreviewed	pdam_00009193	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltransf_25 domain-containing protein	248			RMX44780.1
A0A3M6UFY5	A0A3M6UFY5_POCDA	unreviewed	pdam_00019388	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	304			RMX52590.1
A0A3M6UG91	A0A3M6UG91_POCDA	unreviewed	pdam_00019389	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1112	calcium ion binding [GO:0005509]	GO:0005509	RMX52589.1
A0A2B4RA66	A0A2B4RA66_STYPI	unreviewed	TY3B-I AWC38_SpisGene22186	Stylophora pistillata (Smooth cauliflower coral)	Transposon Ty3-I Gag-Pol polyprotein	1072	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	PFX13703.1
A0A2B4RMJ1	A0A2B4RMJ1_STYPI	unreviewed	AWC38_SpisGene18123	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	718			PFX17548.1
A0A3M6UBA0	A0A3M6UBA0_POCDA	unreviewed	pdam_00017543	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	502	integral component of membrane [GO:0016021]; ligand-gated ion channel activity [GO:0015276]; potassium channel activity [GO:0005267]	GO:0005267; GO:0015276; GO:0016021	RMX50930.1
A0A3M6UB81	A0A3M6UB81_POCDA	unreviewed	pdam_00017545	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1125	integral component of membrane [GO:0016021]	GO:0016021	RMX50932.1
A0A3M6TDL3	A0A3M6TDL3_POCDA	unreviewed	pdam_00007606	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4589			RMX39463.1
A0A2B4RFM0	A0A2B4RFM0_STYPI	unreviewed	AWC38_SpisGene19334	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	156			PFX16401.1
A0A3M6UI80	A0A3M6UI80_POCDA	unreviewed	pdam_00025055	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	151			RMX53335.1
A0A3M6T5W1	A0A3M6T5W1_POCDA	unreviewed	pdam_00015832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptide-O-fucosyltransferase (EC 2.4.1.221)	497	integral component of membrane [GO:0016021]; peptide-O-fucosyltransferase activity [GO:0046922]; fucose metabolic process [GO:0006004]	GO:0006004; GO:0016021; GO:0046922	RMX36699.1
A0A3M6TJR7	A0A3M6TJR7_POCDA	unreviewed	pdam_00013086	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	561	integral component of membrane [GO:0016021]	GO:0016021	RMX41518.1
A0A2B4RAU9	A0A2B4RAU9_STYPI	unreviewed	RTase AWC38_SpisGene22269	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	1231	protein dimerization activity [GO:0046983]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0046983	PFX13630.1
A0A3M6UGU1	A0A3M6UGU1_POCDA	unreviewed	pdam_00011336	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1413	integral component of membrane [GO:0016021]	GO:0016021	RMX52856.1
A0A3M6UMZ9	A0A3M6UMZ9_POCDA	unreviewed	pdam_00007282	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1202	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX55063.1
A0A2B4SWA7	A0A2B4SWA7_STYPI	unreviewed	shkA AWC38_SpisGene1498	Stylophora pistillata (Smooth cauliflower coral)	Dual specificity protein kinase shkA	3895	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0016021	PFX33626.1
A0A2B4RA80	A0A2B4RA80_STYPI	unreviewed	Btbd6 AWC38_SpisGene22514	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein 6	930	integral component of membrane [GO:0016021]	GO:0016021	PFX13400.1
A0A2B4R9U5	A0A2B4R9U5_STYPI	unreviewed	HMCN1 AWC38_SpisGene22660	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1298	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0004714; GO:0005524; GO:0005886; GO:0007155; GO:0007411; GO:0016021	PFX13270.1
A0A2B4SX87	A0A2B4SX87_STYPI	unreviewed	Scrib AWC38_SpisGene725	Stylophora pistillata (Smooth cauliflower coral)	Protein scribble-like	2393	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	PFX34511.1
A0A3M6T914	A0A3M6T914_POCDA	unreviewed	pdam_00007101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	743			RMX37887.1
A0A3M6T5P3	A0A3M6T5P3_POCDA	unreviewed	pdam_00025602	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C2H2-type domain-containing protein	265			RMX36745.1
A0A3M6TW86	A0A3M6TW86_POCDA	unreviewed	pdam_00020739	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	93			RMX45650.1
A0A3M6TB70	A0A3M6TB70_POCDA	unreviewed	pdam_00024704	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1073			RMX38635.1
A0A3M6UZE1	A0A3M6UZE1_POCDA	unreviewed	pdam_00009983	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment)	414	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX59056.1
A0A3M6TM96	A0A3M6TM96_POCDA	unreviewed	pdam_00010875	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	139			RMX42480.1
A0A3M6UBC8	A0A3M6UBC8_POCDA	unreviewed	pdam_00022883	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	429			RMX50972.1
A0A3M6TE56	A0A3M6TE56_POCDA	unreviewed	pdam_00024920	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	86			RMX39666.1
A0A3M6U3I2	A0A3M6U3I2_POCDA	unreviewed	pdam_00002661	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	477	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX48028.1
A0A3M6TR21	A0A3M6TR21_POCDA	unreviewed	pdam_00026066	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	104	calcium ion binding [GO:0005509]	GO:0005509	RMX43857.1
A0A2B4REU6	A0A2B4REU6_STYPI	unreviewed	K02A2.6 AWC38_SpisGene20467	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	244	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX15319.1
A0A2B4SP46	A0A2B4SP46_STYPI	unreviewed	AWC38_SpisGene4865	Stylophora pistillata (Smooth cauliflower coral)	DUF3504 domain-containing protein	295	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	PFX30348.1
A0A3M6TDG0	A0A3M6TDG0_POCDA	unreviewed	pdam_00025457	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	421			RMX39329.1
A0A2B4S5T5	A0A2B4S5T5_STYPI	unreviewed	mkkA AWC38_SpisGene10631	Stylophora pistillata (Smooth cauliflower coral)	Mitogen-activated protein kinase kinase kinase A	1499	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	PFX24756.1
A0A2B4SCC5	A0A2B4SCC5_STYPI	unreviewed	AWC38_SpisGene6942	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	303	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX28334.1
A0A3M6V389	A0A3M6V389_POCDA	unreviewed	pdam_00021313	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	201	integral component of membrane [GO:0016021]	GO:0016021	RMX60382.1
A0A3M6TYZ9	A0A3M6TYZ9_POCDA	unreviewed	pdam_00023234	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	217			RMX46488.1
A0A2B4R6D9	A0A2B4R6D9_STYPI	unreviewed	AWC38_SpisGene24295	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	200	integral component of membrane [GO:0016021]	GO:0016021	PFX11845.1
A0A2B4R9Q1	A0A2B4R9Q1_STYPI	unreviewed	AWC38_SpisGene21486	Stylophora pistillata (Smooth cauliflower coral)	Endo/exonuclease/phosphatase domain-containing protein	725			PFX14361.1
A0A2B4RI22	A0A2B4RI22_STYPI	unreviewed	pol AWC38_SpisGene19862	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	1213	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX15902.1
A0A3M6TEG6	A0A3M6TEG6_POCDA	unreviewed	pdam_00007150	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	162	heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016705; GO:0020037	RMX39772.1
A0A2B4S5H0	A0A2B4S5H0_STYPI	unreviewed	AWC38_SpisGene11699	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	611			PFX23725.1
A0A3M6TZB3	A0A3M6TZB3_POCDA	unreviewed	pdam_00015676	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	508			RMX46730.1
A0A3M6TL80	A0A3M6TL80_POCDA	unreviewed	pdam_00001330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	965	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016021; GO:0016705; GO:0020037	RMX42116.1
A0A3M6U4Q2	A0A3M6U4Q2_POCDA	unreviewed	pdam_00008024	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	768	integral component of membrane [GO:0016021]	GO:0016021	RMX48650.1
A0A2B4RU52	A0A2B4RU52_STYPI	unreviewed	OPLAH AWC38_SpisGene15217	Stylophora pistillata (Smooth cauliflower coral)	5-oxoprolinase	1194	hydrolase activity [GO:0016787]	GO:0016787	PFX20323.1
A0A2B4RR84	A0A2B4RR84_STYPI	unreviewed	AWC38_SpisGene16845	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	299	integral component of membrane [GO:0016021]	GO:0016021	PFX18775.1
A0A2B4SHP3	A0A2B4SHP3_STYPI	unreviewed	Setd2 AWC38_SpisGene6343	Stylophora pistillata (Smooth cauliflower coral)	Histone-lysine N-methyltransferase SETD2	1330	chromosome [GO:0005694]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; extracellular matrix structural constituent [GO:0005201]; histone methyltransferase activity (H3-K36 specific) [GO:0046975]; histone H3-K36 trimethylation [GO:0097198]	GO:0005201; GO:0005634; GO:0005694; GO:0016021; GO:0046975; GO:0097198	PFX28906.1
A0A3M6UJN1	A0A3M6UJN1_POCDA	unreviewed	pdam_00018615	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	482			RMX53881.1
A0A3M6U8E5	A0A3M6U8E5_POCDA	unreviewed	pdam_00023069	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Roc domain-containing protein	1356	cysteine-type endopeptidase activity [GO:0004197]; nucleotide binding [GO:0000166]; transferase activity, transferring glycosyl groups [GO:0016757]	GO:0000166; GO:0004197; GO:0016757	RMX49943.1
A0A3M6TXQ0	A0A3M6TXQ0_POCDA	unreviewed	pdam_00007858	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	5270	ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0016887	RMX46175.1
A0A3M6TDS4	A0A3M6TDS4_POCDA	unreviewed	pdam_00006090	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1502	integral component of membrane [GO:0016021]	GO:0016021	RMX39536.1
A0A3M6V5E9	A0A3M6V5E9_POCDA	unreviewed	pdam_00010524	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methionyl-tRNA formyltransferase (EC 2.1.2.9) (Methionyl-tRNA formyltransferase, mitochondrial)	361	methionyl-tRNA formyltransferase activity [GO:0004479]	GO:0004479	RMX61100.1
